pid,human_valence_1to7,human_arousal_1to7,human_interest_1to5,chapter_text
1,4,7,4,"Dylan’s eyes snapped open. He turned to his alarm clock.
 8:12 a.m. He stared at it for two full seconds before leaping out of bed. “Mom! Why didn’t you wake me up?!” he shouted, grabbing yesterday’s T-shirt off the floor. He shoved one sock on, then the other, and stuffed a granola bar into his hoodie pocket. <br><br>
The bus came at 8:15. He had exactly three minutes. Shoes barely tied, he burst out the front door, backpack swinging wildly. As he reached the corner, he saw the bus—already at his stop. The doors closed. It started to pull away."
1030,4,2,5,"Mira fumbled for the light switch and flipped open her leather-bound diary, ready to pen the day’s events as she did every evening. But tonight, her hand froze. The page for today’s date was already filled with neat lines of handwriting that looked exactly like her own. Heart pounding, Mira leaned in. The entry described her entire day in uncanny detail — the burnt toast at breakfast, the pop quiz in biology class, even the strange cat that had trailed her halfway home.<br><br>
She hadn’t written a single word, yet there it was: her day retold from start to finish. Mira’s throat went dry as she scanned the final lines. The diary entry ended with a detail so fresh it hadn’t even happened when she climbed the stairs: “At 10:17 PM, Mira gasps in disbelief, reading these words.” The digital clock on her desk blinked 10:17 PM.<br><br>
Mira slammed the diary shut and backed away as if it might bite. Her mind raced through a dozen explanations — a prank, a lapse in memory, something beyond reality itself. For a moment, she couldn't tell if the chill that ran through her came from the night air leaking through the window or the unsettling words on the page. Trembling, she realized her safe little world had cracked open, and whatever was happening was only just beginning."
1039,2,2,3,"In the pale light of a post-war morning, Miriam stepped onto the cracked cobblestones of a small town scarred by conflict. Clutching her threadbare shawl close, she made her way toward the modest market, where sparse vendors sold their remaining wares with heavy hearts. The low murmur of neighbors echoed the quiet despair of rebuilding lives amid lingering loss. As she paused by a worn fruit stand, a brief nod from a weary stranger offered little comfort—a silent reminder of the daily struggle. With resolve tempered by hardship, Miriam carried on, determined to provide for her family even when hope felt like a distant memory."
1040,4,5,4,"Mira fumbled for the light switch and flipped open her leather-bound diary, ready to pen the day’s events as she did every evening. But tonight, her hand froze. The page for today’s date was already filled with neat lines of handwriting that looked exactly like her own. Heart pounding, Mira leaned in. The entry described her entire day in uncanny detail — the burnt toast at breakfast, the pop quiz in biology class, even the strange cat that had trailed her halfway home.<br><br>
She hadn’t written a single word, yet there it was: her day retold from start to finish. Mira’s throat went dry as she scanned the final lines. The diary entry ended with a detail so fresh it hadn’t even happened when she climbed the stairs: “At 10:17 PM, Mira gasps in disbelief, reading these words.” The digital clock on her desk blinked 10:17 PM.<br><br>
Mira slammed the diary shut and backed away as if it might bite. Her mind raced through a dozen explanations — a prank, a lapse in memory, something beyond reality itself. For a moment, she couldn't tell if the chill that ran through her came from the night air leaking through the window or the unsettling words on the page. Trembling, she realized her safe little world had cracked open, and whatever was happening was only just beginning."
1045,4,5,5,"Sasha’s small fingers trembled with excitement as she peeled away another strip of the faded wallpaper. She had discovered the corner of a door behind the peeling paper in the attic last week, and today she could no longer resist exploring further. With each tug, more of the wooden door was revealed, along with an old-fashioned keyhole that seemed to wink at her in the dim attic light. She wasn’t supposed to play up here alone, but something about the hidden door was too intriguing — almost as if it was calling her.<br><br>
As thunder rumbled outside, Sasha pressed her ear against the cool, dusty wood. At first, she heard nothing but the thud of her own heartbeat. Then, ever so faintly, she caught what sounded like a whisper: her own name. Sasha’s breath hitched. She glanced over her shoulder, half expecting to find her older brother playing a prank, but the attic was empty except for shadows. Gathering her courage, she nudged the door. It didn’t budge, but a thin line of golden light appeared around the edges, sending dust motes dancing in its glow. Sasha’s imagination raced — was this a doorway to a secret playroom, a magical kingdom, or something else entirely? She knew only one way to find out."
1056,6,6,5,"Sasha’s small fingers trembled with excitement as she peeled away another strip of the faded wallpaper. She had discovered the corner of a door behind the peeling paper in the attic last week, and today she could no longer resist exploring further. With each tug, more of the wooden door was revealed, along with an old-fashioned keyhole that seemed to wink at her in the dim attic light. She wasn’t supposed to play up here alone, but something about the hidden door was too intriguing — almost as if it was calling her.<br><br>
As thunder rumbled outside, Sasha pressed her ear against the cool, dusty wood. At first, she heard nothing but the thud of her own heartbeat. Then, ever so faintly, she caught what sounded like a whisper: her own name. Sasha’s breath hitched. She glanced over her shoulder, half expecting to find her older brother playing a prank, but the attic was empty except for shadows. Gathering her courage, she nudged the door. It didn’t budge, but a thin line of golden light appeared around the edges, sending dust motes dancing in its glow. Sasha’s imagination raced — was this a doorway to a secret playroom, a magical kingdom, or something else entirely? She knew only one way to find out."
1063,5,5,5,"Aelin strode into the bustling market square of Eldoria, where magic and myth were as common as the wares on every stall. Having just left her quiet village, she hoped to find clues about her mysterious heritage. Stalls adorned with enchanted trinkets and potions lined the cobblestone streets, while townsfolk chattered about an ancient prophecy. Amid the clamor, a hooded figure approached her with a worn map and a knowing smile. The promise of adventure hung in the air like a whispered legend. With her heart pounding in anticipation of quests and magic, Aelin sensed that her journey was destined to follow the well-worn path of epic tales she’d read since childhood."
1068,2,2,3,"In the pale light of a post-war morning, Miriam stepped onto the cracked cobblestones of a small town scarred by conflict. Clutching her threadbare shawl close, she made her way toward the modest market, where sparse vendors sold their remaining wares with heavy hearts. The low murmur of neighbors echoed the quiet despair of rebuilding lives amid lingering loss. As she paused by a worn fruit stand, a brief nod from a weary stranger offered little comfort—a silent reminder of the daily struggle. With resolve tempered by hardship, Miriam carried on, determined to provide for her family even when hope felt like a distant memory."
1072,5,6,4,"In the neon glow of a futuristic metropolis, Jax adjusted the controls on his hovering bike as he navigated the bustling sky lanes. It was another routine day in the sprawling city of Neo-Arcadia—a place where technology blurred the lines between human and machine. As he soared past holographic billboards and automated drones, a sudden alert on his wrist communicator disrupted his monotony. An encrypted message from an old friend hinted at a conspiracy involving the city’s governing AI. The standard mix of excitement and apprehension set in, as Jax knew all too well that this was the beginning of an adventure. His journey into a digital labyrinth was about to begin."
11,3,6,1,"Dylan’s eyes snapped open. He turned to his alarm clock.
 8:12 a.m. He stared at it for two full seconds before leaping out of bed. “Mom! Why didn’t you wake me up?!” he shouted, grabbing yesterday’s T-shirt off the floor. He shoved one sock on, then the other, and stuffed a granola bar into his hoodie pocket. <br><br>
The bus came at 8:15. He had exactly three minutes. Shoes barely tied, he burst out the front door, backpack swinging wildly. As he reached the corner, he saw the bus—already at his stop. The doors closed. It started to pull away."
